tic_id,n_windows,score_max,score_mean,n_high,frac_high,period,duration,depth,bls_power,pass_base,pass_consistency,pred_post,label_true
128917881,6,0.79248047,0.69222006,3,0.5,14.169604052306209,0.02,29228.660958236746,29227.93318011684,False,True,False,1
141024724,6,0.7714844,0.6534016916666666,2,0.3333333333333333,14.167616000721672,0.02,10047.984808980718,10047.73461950048,False,True,False,1
149125418,6,0.67578125,0.6225585933333333,0,0.0,14.167630472733656,0.02,3587.996928213606,3587.907588997472,False,False,False,1
149176684,6,0.75439453,0.6565755183333334,1,0.16666666666666666,14.1639592008929,0.02,6396.481015883538,6396.32174690661,False,False,False,1
150438041,6,0.7866211,0.6609700583333333,1,0.16666666666666666,14.171700313815675,0.02,1584.5849299562014,1584.5454746338105,False,False,False,1
167754523,6,0.8071289,0.6352132183333333,2,0.3333333333333333,14.163804478294391,0.02,26713.74524070824,26713.08008265277,False,True,False,1
177282821,6,0.80029297,0.6930338533333332,3,0.5,14.166254725266612,0.02,890.9084732347272,890.8862900873504,False,True,False,1
220408525,6,0.69873047,0.62841797,0,0.0,14.170671148121516,0.02,2682.944128555129,2682.8773246725805,False,False,False,1
220431435,6,0.7602539,0.646647125,1,0.16666666666666666,14.166226519755783,0.02,31815.901035004743,31815.108835982297,False,False,False,1
220476607,6,0.60498047,0.5974121083333334,0,0.0,0.9145967588576802,0.1,9681.447018699037,424545.5213940615,False,False,False,1
231725008,6,0.7675781,0.6501464883333333,1,0.16666666666666666,14.172319236561282,0.02,117518.00276464662,117515.07662885032,False,False,False,1
238192896,6,0.7416992,0.63549804,1,0.16666666666666666,14.165401598765682,0.02,11704.719752224468,11704.428310924864,False,False,False,1
257719469,6,0.76171875,0.66805013,2,0.3333333333333333,14.164596911327113,0.02,35560.34052888505,35559.45509530975,False,True,False,1
260267665,6,0.7871094,0.6971028716666666,3,0.5,14.164683931303816,0.02,11166.018226436148,11165.74019851816,False,True,False,1
261337380,6,0.7871094,0.6709798216666667,2,0.3333333333333333,14.167167240698644,0.02,72367.56767217146,72365.765758207,False,True,False,1
267044642,6,0.7338867,0.6305338533333333,1,0.16666666666666666,14.16571166083281,0.02,12945.057145740177,12944.734820698835,False,False,False,1
278658315,6,0.765625,0.6389973966666667,1,0.16666666666666666,14.169751060002705,0.02,11158.844278118178,11158.566428827691,False,False,False,1
290542693,6,0.7998047,0.6583658833333333,3,0.5,14.171757684255304,0.02,358536.2260016345,358527.2986402048,False,True,False,1
293223210,6,0.63916016,0.6079915366666667,0,0.0,14.164076099356564,0.02,1536.621930700883,1536.5836696316765,False,False,False,1
293525326,6,0.79052734,0.66748047,2,0.3333333333333333,14.078102623415496,0.1,783.781746773046,10836.191894448228,False,True,False,1
300160320,6,0.7739258,0.63854981,2,0.3333333333333333,14.215630029208649,0.02,267261.7233699377,267255.06869510206,False,True,False,1
30631031,6,0.7841797,0.6726074233333333,2,0.3333333333333333,14.213850557521836,0.02,149989.77141827115,149986.03675269737,False,True,False,1
306822783,6,0.6352539,0.605957025,0,0.0,14.173449574502696,0.02,624.1084842879461,624.0929443184633,False,False,False,1
31181554,6,0.7915039,0.6662597633333333,2,0.3333333333333333,14.166042494714953,0.02,1862.819107197901,1862.772723992406,False,True,False,1
316341281,6,0.7734375,0.6795247383333334,1,0.16666666666666666,14.166400887028152,0.02,70554.42387956873,70552.66711192085,False,False,False,1
322306553,6,0.7915039,0.6368815083333333,1,0.16666666666666666,14.187303117204356,0.02,25289.291221441443,25288.66153153381,False,False,False,1
323246164,6,0.6411133,0.6078287783333334,0,0.0,14.167481605403353,0.02,2164.6654327127776,2164.611533694239,False,False,False,1
327595236,6,0.75927734,0.6717936166666667,2,0.3333333333333333,14.167834159923904,0.02,116780.05165663228,116777.1438954263,False,True,False,1
327785134,6,0.76953125,0.6643880166666667,2,0.3333333333333333,14.17157414666413,0.02,45615.50914169789,45614.37333976946,False,True,False,1
349833322,6,0.8017578,0.6099446566666666,2,0.3333333333333333,14.165710190828028,0.02,30783.57437619628,30782.807881558856,False,True,False,1
355210936,6,0.7416992,0.65364583,1,0.16666666666666666,14.166967262591742,0.02,18336.21240721801,18335.755845276595,False,False,False,1
365954483,6,0.70214844,0.6414388016666667,0,0.0,14.169031118711452,0.02,16721.601508784766,16721.185149796398,False,False,False,1
375034775,6,0.71484375,0.6281738233333334,0,0.0,14.165354076560297,0.02,323.2493084341166,323.24125969817584,False,False,False,1
379236118,6,0.75146484,0.6476237,1,0.16666666666666666,14.168553470254734,0.02,51157.694693614,51156.42089421155,False,False,False,1
382578987,6,0.7895508,0.6993815149999999,3,0.5,14.16909503513346,0.02,59221.67564402524,59220.20105578393,False,True,False,1
38634572,6,0.7915039,0.6678873666666667,2,0.3333333333333333,14.17242067938526,0.02,3917.347380206933,3917.249840339626,False,True,False,1
394631720,6,0.7167969,0.6232096366666667,0,0.0,14.171836950022842,0.02,232.15323409757517,232.1474536054587,False,False,False,1
405867785,6,0.7680664,0.6275227883333333,1,0.16666666666666666,14.20743240542484,0.02,26140.961760460643,26140.310864409337,False,False,False,1
50316633,6,0.75097656,0.6302083316666667,1,0.16666666666666666,14.16388786249374,0.02,8783.90450832551,8783.685793772775,False,False,False,1
55270064,6,0.7373047,0.6389973983333334,1,0.16666666666666666,14.172411691967326,0.02,2233.6069762088623,2233.55136058254,False,False,False,1
55849446,6,0.79248047,0.6656087283333333,2,0.3333333333333333,14.19844963599956,0.02,24227.82021683161,24227.21695698771,False,True,False,1
61269826,6,0.79296875,0.6640625016666667,2,0.3333333333333333,14.165374036060363,0.02,5503.500806013423,5503.3637717690135,False,True,False,1
80089548,6,0.68408203,0.6258138033333334,0,0.0,14.173396554785295,0.02,63326.99314837781,63325.41633991304,False,False,False,1
90904124,6,0.7470703,0.6241862033333333,1,0.16666666666666666,14.165782785798854,0.02,23405.170693129632,23404.58791682156,False,False,False,1
97176846,6,0.6381836,0.6175130166666666,0,0.0,14.16332841112405,0.02,1223.0885003105218,1223.0580460570577,False,False,False,1
