base_thr,high_thr,min_high,use_bls,min_bls,TP,FP,TN,FN,Precision,Recall,F1,kept
0.6,0.7,0,1,4.0,50,50,1,0,0.5,1.0,0.6666666666666666,100
0.6,0.7,0,1,5.0,50,50,1,0,0.5,1.0,0.6666666666666666,100
0.6,0.75,0,1,4.0,50,50,1,0,0.5,1.0,0.6666666666666666,100
0.6,0.75,0,1,5.0,50,50,1,0,0.5,1.0,0.6666666666666666,100
0.6,0.7,0,0,4.0,50,51,0,0,0.49504950495049505,1.0,0.6622516556291391,101
0.6,0.7,0,0,5.0,50,51,0,0,0.49504950495049505,1.0,0.6622516556291391,101
0.6,0.75,0,0,4.0,50,51,0,0,0.49504950495049505,1.0,0.6622516556291391,101
0.6,0.75,0,0,5.0,50,51,0,0,0.49504950495049505,1.0,0.6622516556291391,101
0.65,0.7,0,1,4.0,45,46,5,5,0.4945054945054945,0.9,0.6382978723404256,91
0.65,0.7,0,1,5.0,45,46,5,5,0.4945054945054945,0.9,0.6382978723404256,91
0.65,0.75,0,1,4.0,45,46,5,5,0.4945054945054945,0.9,0.6382978723404256,91
0.65,0.75,0,1,5.0,45,46,5,5,0.4945054945054945,0.9,0.6382978723404256,91
0.6,0.7,1,1,4.0,42,40,11,8,0.5121951219512195,0.84,0.6363636363636364,82
0.6,0.7,1,1,5.0,42,40,11,8,0.5121951219512195,0.84,0.6363636363636364,82
0.65,0.7,1,1,4.0,42,40,11,8,0.5121951219512195,0.84,0.6363636363636364,82
0.65,0.7,1,1,5.0,42,40,11,8,0.5121951219512195,0.84,0.6363636363636364,82
0.7,0.7,0,1,4.0,42,40,11,8,0.5121951219512195,0.84,0.6363636363636364,82
0.7,0.7,0,1,5.0,42,40,11,8,0.5121951219512195,0.84,0.6363636363636364,82
0.7,0.7,1,1,4.0,42,40,11,8,0.5121951219512195,0.84,0.6363636363636364,82
0.7,0.7,1,1,5.0,42,40,11,8,0.5121951219512195,0.84,0.6363636363636364,82
0.7,0.75,0,1,4.0,42,40,11,8,0.5121951219512195,0.84,0.6363636363636364,82
0.7,0.75,0,1,5.0,42,40,11,8,0.5121951219512195,0.84,0.6363636363636364,82
0.65,0.7,0,0,4.0,45,47,4,5,0.4891304347826087,0.9,0.6338028169014085,92
0.65,0.7,0,0,5.0,45,47,4,5,0.4891304347826087,0.9,0.6338028169014085,92
0.65,0.75,0,0,4.0,45,47,4,5,0.4891304347826087,0.9,0.6338028169014085,92
0.65,0.75,0,0,5.0,45,47,4,5,0.4891304347826087,0.9,0.6338028169014085,92
0.6,0.7,1,0,4.0,42,41,10,8,0.5060240963855421,0.84,0.631578947368421,83
0.6,0.7,1,0,5.0,42,41,10,8,0.5060240963855421,0.84,0.631578947368421,83
0.65,0.7,1,0,4.0,42,41,10,8,0.5060240963855421,0.84,0.631578947368421,83
0.65,0.7,1,0,5.0,42,41,10,8,0.5060240963855421,0.84,0.631578947368421,83
0.7,0.7,0,0,4.0,42,41,10,8,0.5060240963855421,0.84,0.631578947368421,83
0.7,0.7,0,0,5.0,42,41,10,8,0.5060240963855421,0.84,0.631578947368421,83
0.7,0.7,1,0,4.0,42,41,10,8,0.5060240963855421,0.84,0.631578947368421,83
0.7,0.7,1,0,5.0,42,41,10,8,0.5060240963855421,0.84,0.631578947368421,83
0.7,0.75,0,0,4.0,42,41,10,8,0.5060240963855421,0.84,0.631578947368421,83
0.7,0.75,0,0,5.0,42,41,10,8,0.5060240963855421,0.84,0.631578947368421,83
0.6,0.75,1,1,4.0,34,30,21,16,0.53125,0.68,0.5964912280701754,64
0.6,0.75,1,1,5.0,34,30,21,16,0.53125,0.68,0.5964912280701754,64
0.65,0.75,1,1,4.0,34,30,21,16,0.53125,0.68,0.5964912280701754,64
0.65,0.75,1,1,5.0,34,30,21,16,0.53125,0.68,0.5964912280701754,64
0.7,0.75,1,1,4.0,34,30,21,16,0.53125,0.68,0.5964912280701754,64
0.7,0.75,1,1,5.0,34,30,21,16,0.53125,0.68,0.5964912280701754,64
0.75,0.7,0,1,4.0,34,30,21,16,0.53125,0.68,0.5964912280701754,64
0.75,0.7,0,1,5.0,34,30,21,16,0.53125,0.68,0.5964912280701754,64
0.75,0.7,1,1,4.0,34,30,21,16,0.53125,0.68,0.5964912280701754,64
0.75,0.7,1,1,5.0,34,30,21,16,0.53125,0.68,0.5964912280701754,64
0.75,0.75,0,1,4.0,34,30,21,16,0.53125,0.68,0.5964912280701754,64
0.75,0.75,0,1,5.0,34,30,21,16,0.53125,0.68,0.5964912280701754,64
0.75,0.75,1,1,4.0,34,30,21,16,0.53125,0.68,0.5964912280701754,64
0.75,0.75,1,1,5.0,34,30,21,16,0.53125,0.68,0.5964912280701754,64
0.6,0.75,1,0,4.0,34,31,20,16,0.5230769230769231,0.68,0.591304347826087,65
0.6,0.75,1,0,5.0,34,31,20,16,0.5230769230769231,0.68,0.591304347826087,65
0.65,0.75,1,0,4.0,34,31,20,16,0.5230769230769231,0.68,0.591304347826087,65
0.65,0.75,1,0,5.0,34,31,20,16,0.5230769230769231,0.68,0.591304347826087,65
0.7,0.75,1,0,4.0,34,31,20,16,0.5230769230769231,0.68,0.591304347826087,65
0.7,0.75,1,0,5.0,34,31,20,16,0.5230769230769231,0.68,0.591304347826087,65
0.75,0.7,0,0,4.0,34,31,20,16,0.5230769230769231,0.68,0.591304347826087,65
0.75,0.7,0,0,5.0,34,31,20,16,0.5230769230769231,0.68,0.591304347826087,65
0.75,0.7,1,0,4.0,34,31,20,16,0.5230769230769231,0.68,0.591304347826087,65
0.75,0.7,1,0,5.0,34,31,20,16,0.5230769230769231,0.68,0.591304347826087,65
0.75,0.75,0,0,4.0,34,31,20,16,0.5230769230769231,0.68,0.591304347826087,65
0.75,0.75,0,0,5.0,34,31,20,16,0.5230769230769231,0.68,0.591304347826087,65
0.75,0.75,1,0,4.0,34,31,20,16,0.5230769230769231,0.68,0.591304347826087,65
0.75,0.75,1,0,5.0,34,31,20,16,0.5230769230769231,0.68,0.591304347826087,65
0.75,0.7,2,1,4.0,27,24,27,23,0.5294117647058824,0.54,0.5346534653465347,51
0.75,0.7,2,1,5.0,27,24,27,23,0.5294117647058824,0.54,0.5346534653465347,51
0.75,0.7,2,0,4.0,27,25,26,23,0.5192307692307693,0.54,0.5294117647058824,52
0.75,0.7,2,0,5.0,27,25,26,23,0.5192307692307693,0.54,0.5294117647058824,52
0.6,0.7,2,1,4.0,28,28,23,22,0.5,0.56,0.5283018867924528,56
0.6,0.7,2,1,5.0,28,28,23,22,0.5,0.56,0.5283018867924528,56
0.65,0.7,2,1,4.0,28,28,23,22,0.5,0.56,0.5283018867924528,56
0.65,0.7,2,1,5.0,28,28,23,22,0.5,0.56,0.5283018867924528,56
0.7,0.7,2,1,4.0,28,28,23,22,0.5,0.56,0.5283018867924528,56
0.7,0.7,2,1,5.0,28,28,23,22,0.5,0.56,0.5283018867924528,56
0.6,0.7,2,0,4.0,28,29,22,22,0.49122807017543857,0.56,0.5233644859813084,57
0.6,0.7,2,0,5.0,28,29,22,22,0.49122807017543857,0.56,0.5233644859813084,57
0.65,0.7,2,0,4.0,28,29,22,22,0.49122807017543857,0.56,0.5233644859813084,57
0.65,0.7,2,0,5.0,28,29,22,22,0.49122807017543857,0.56,0.5233644859813084,57
0.7,0.7,2,0,4.0,28,29,22,22,0.49122807017543857,0.56,0.5233644859813084,57
0.7,0.7,2,0,5.0,28,29,22,22,0.49122807017543857,0.56,0.5233644859813084,57
0.6,0.75,2,0,4.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.6,0.75,2,0,5.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.6,0.75,2,1,4.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.6,0.75,2,1,5.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.65,0.75,2,0,4.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.65,0.75,2,0,5.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.65,0.75,2,1,4.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.65,0.75,2,1,5.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.7,0.75,2,0,4.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.7,0.75,2,0,5.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.7,0.75,2,1,4.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.7,0.75,2,1,5.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.75,0.75,2,0,4.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.75,0.75,2,0,5.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.75,0.75,2,1,4.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
0.75,0.75,2,1,5.0,18,18,33,32,0.5,0.36,0.4186046511627907,36
